Line,Anio,Week,Quantity
Calor,2014,W01,12375
Calor,2014,W02,2415
Calor,2014,W03,2662
Calor,2014,W04,5176
Calor,2014,W05,10764
Calor,2014,W06,1680
Calor,2014,W07,2296
Calor,2014,W08,4463
Calor,2014,W09,6899
Calor,2014,W10,15
Calor,2014,W11,2488
Calor,2014,W12,3440
Calor,2014,W13,8914
Calor,2014,W14,2585
Calor,2014,W15,1391
Calor,2014,W16,1546
Calor,2014,W17,3889
Calor,2014,W18,5676
Calor,2014,W19,2520
Calor,2014,W20,2580
Calor,2014,W21,3857
Calor,2014,W22,6579
Calor,2014,W23,182
Calor,2014,W24,1656
Calor,2014,W25,1422
Calor,2014,W26,6132
Calor,2014,W27,1565
Calor,2014,W28,1067
Calor,2014,W29,2946
Calor,2014,W30,4463
Calor,2014,W31,1631
Calor,2014,W32,527
Calor,2014,W33,1701
Calor,2014,W34,2773
Calor,2014,W35,5818
Calor,2014,W36,639
Calor,2014,W37,1481
Calor,2014,W38,2438
Calor,2014,W39,5382
Calor,2014,W40,3079
Calor,2014,W41,1925
Calor,2014,W42,2801
Calor,2014,W43,4638
Calor,2014,W44,4668
Calor,2014,W45,412
Calor,2014,W46,1618
Calor,2014,W47,4238
Calor,2014,W48,9611
Calor,2014,W49,1684
Calor,2014,W50,4168
Calor,2014,W51,10289
Calor,2014,W52,6117
Calor,2015,W01,0
Calor,2015,W02,441
Calor,2015,W03,4531
Calor,2015,W04,7116
Calor,2015,W05,13387
Calor,2015,W06,448
Calor,2015,W07,6489
Calor,2015,W08,1841
Calor,2015,W09,10043
Calor,2015,W10,1865
Calor,2015,W11,2591
Calor,2015,W12,10261
Calor,2015,W13,11467
Calor,2015,W14,664
Calor,2015,W15,4273
Calor,2015,W16,5192
Calor,2015,W17,11198
Calor,2015,W18,6510
Calor,2015,W19,2056
Calor,2015,W20,6368
Calor,2015,W21,4448
Calor,2015,W22,12286
Calor,2015,W23,2717
Calor,2015,W24,3561
Calor,2015,W25,12251
Calor,2015,W26,9937
Calor,2015,W27,7799
Calor,2015,W28,4079
Calor,2015,W29,3671
Calor,2015,W30,2719
Calor,2015,W31,2181
Calor,2015,W32,1995
Calor,2015,W33,3357
Calor,2015,W34,3431
Calor,2015,W35,3858
Calor,2015,W36,758
Calor,2015,W37,4889
Calor,2015,W38,1294
Calor,2015,W39,4520
Calor,2015,W40,3833
Calor,2015,W41,2714
Calor,2015,W42,2684
Calor,2015,W43,3706
Calor,2015,W44,3341
Calor,2015,W45,1531
Calor,2015,W46,1350
Calor,2015,W47,3088
